conclusion_number,conclusion_date,incident_date,incident_type,incident_description,fatalities,fatalities_description,area,registry,aircraft_type,aircraft_info,area_info,crew,deaths_crew_members,seriously_injured_crew_members,passengers,deaths_passengers,seriously_injured_passengers,other_deaths,other_injuries,aircraft_type2,Year,percentage_deaths_to_all_incidents
E01/2016,2016-01-29,2013-09-14,ΑΤΥΧΗΜΑ,Αλεξιπτωτιστής ελεύθερης πτώσης έχασε τις αισθήσεις του σε εναέρια σύγκρουση με έτερο αλεξιπτωτιστή και τραυματίστηκε κατά την πτώση του με αυτόματη ενεργοποίηση του εφεδρικού αλεξιπτώτου,Σοβαρός τραυματισμός,      Πλήρωμα=1                       Επιβάτες=0    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=1      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Πεδίο Προσγείωσης Κωπαΐδας,-,Αλεξίπτωτο,Αλεξίπτωτο ελεύθερης πτώσης,Πεδίο Προσγείωσης ΚωπαΐδαςΝηολόγιο(α): -Αλεξίπτωτο ελεύθερης πτώσης,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Αλεξίπτωτο,2013,
05/2016,2016-11-25,2015-07-17,ΑΤΥΧΗΜΑ,Χειριστής αλεξιπτώτου πλαγιάς μετά από ολιγόλεπτη πτήση αναψυχής τραυματίστηκε θανάσιμα σύγκρουση με στύλο ηλεκτρικού ρεύματος και πτώση,Θανάσιμος τραυματισμός,      Πλήρωμα=1                       Επιβάτες=0    Θάνατοι Πληρώματος=1          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Ν. Ηράκλεια Χαλκιδικής,-,Αλεξίπτωτο,Μηχανοκίνητο Αλεξίπτωτο,Ν. Ηράκλεια ΧαλκιδικήςΝηολόγιο(α): -Μηχανοκίνητο Αλεξίπτωτο,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Αλεξίπτωτο,2015,
04/2016,2016-10-30,2014-04-05,ΑΤΥΧΗΜΑ,Χειριστής Αλεξιπτώτου Πλαγιάς  τραυματίστηκε θανάσιμα σε πλαγιά βουνού πιθανότατα ύστερα από απωλεια αισθήσεων λόγω καρδιοπάθειας κατά την πτήση,Θανάσιμος τραυματισμός,      Πλήρωμα=1                       Επιβάτες=0    Θάνατοι Πληρώματος=1          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Λέντα Κρήτης,,Αλεξίπτωτο,Αλεξίπτωτο Πλαγιάς,Λέντα ΚρήτηςΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Αλεξίπτωτο,2014,
03/2016,2016-08-30,2015-03-05,ΑΤΥΧΗΜΑ,Σοβαρός τραυματισμός χειριστή αλεξιπτώτου πλαγιάς από πτώση κατά την προσπάθεια προσγείωσης στον χώρο απογείωσης (top landing),Σοβαρός τραυματισμός,      Πλήρωμα=1                       Επιβάτες=0    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=1      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Βλαχέρνα Αγρινίου Αιτωλοακαρνανίας,,Αλεξίπτωτο,Αλεξίπτωτο Πλαγιάς,Βλαχέρνα Αγρινίου ΑιτωλοακαρνανίαςΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Αλεξίπτωτο,2015,
02/2016,2016-06-29,2010-07-08,ΑΤΥΧΗΜΑ,Ελαφρύ αεροπλάνο με 6 επιβαίνοντεςεξετράπη του διαδρόμου προσγείωσης στο αεροδρόμιο Σαντορίνης (LGSR) και ακινητοποιήθηκε στη ζώνη ασφάλειας του αεροδρομίου.,Μικρός τραυματισμός,      Πλήρωμα=1                       Επιβάτες=5    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Κρατικός Αερολιμένας Σαντορίνης (Lgsr),SX-FAS,Αεροπλάνο,Μικρό / Ελαφρύ,Κρατικός Αερολιμένας Σαντορίνης (LGSR)Νηολόγιο(α): SX-FASΑεροπλάνοΜικρό / Ελαφρύ,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,Αεροπλάνο,2010,
01/2016,2016-10-03,2014-07-26,ΑΤΥΧΗΜΑ,Συντριβή διθέσιου αμφίβιου υπερελαφρού αεροπλάνου αμέσως μετά την απογείωση κατά τη στροφή για αναγκαστική προσγείωση λόγω απώλειας ισχύος κινητήρα. Θανάσιμος Τραυματισμός.,Θανάσιμος τραυματισμός,      Πλήρωμα=2                       Επιβάτες=0    Θάνατοι Πληρώματος=2          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,"Θέση Πυρί, Λευκόχωμα Σπάρτης",I-Α651,Αεροπλάνο,Υπερελαφρύ,"Θέση Πυρί, Λευκόχωμα ΣπάρτηςΝηολόγιο(α): I-Α651ΑεροπλάνοΥπερελαφρύ",2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Αεροπλάνο,2014,
06/2015,2015-10-31,2014-08-31,ΑΤΥΧΗΜΑ,"χειρίστρια αλεξίπτωτου πλαγιάς που πραγματοποιούσε πτήση στο όρος Κιθαιρώνας πλησίον της πόλης των Πλαταιών, τραυματίσθηκε θανάσιμα μετά από είσοδο του αλεξίπτωτού της σε σπειροειδή βύθιση και πτώση της στην πλαγιά του όρους",Θανάσιμος τραυματισμός,      Πλήρωμα=1                       Επιβάτες=0    Θάνατοι Πληρώματος=1          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,"Πλαταιές, Βοιωτίας",,Αλεξίπτωτο,Αλεξίπτωτο Πλαγιάς,"Πλαταιές, ΒοιωτίαςΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Αλεξίπτωτο,2014,
E01/2015,2015-09-30,2014-03-08,ΑΤΥΧΗΜΑ,Ζημιές σε ελικόπτερο κατά την προσγείωση λόγω επαφής των πτερύγων της έλικας με ξένο αντικείμενο.,Χωρίς Τραυματισμό,      Πλήρωμα=1                       Επιβάτες=0    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Παρος (Ιδιωτικό Χώρο Προσγείωσης),,Ελικόπτερο,Μικρό / Ελαφρύ,ΠΑΡΟΣ (ιδιωτικό χώρο προσγείωσης)Νηολόγιο(α): SX-HVJΕλικόπτεροΜικρό / Ελαφρύ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ελικόπτερο,2014,
05/2015,2015-08-31,2013-09-06,ΑΤΥΧΗΜΑ,Αλεξιπτωτιστής πλαγιάς απογειώθηκε με εμπλοκή στα σχοινάκια του αλεξιπτώτου του και στην προσπάθειά του να προσγειωθεί στο χώρο απογείωσης (Top Landing) κατέπεσε πλησίον αυτού με συνέπεια τον σοβαρό τραυματισμό του.,Σοβαρός τραυματισμός,      Πλήρωμα=1                       Επιβάτες=0    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=1      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Ομπλός Αχαΐας,,Αλεξίπτωτο,Αλεξίπτωτο Πλαγιάς,Ομπλός ΑχαΐαςΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Αλεξίπτωτο,2013,
04/2015,2015-06-30,2014-01-05,ΑΤΥΧΗΜΑ,Χειριστής αλεξιπτώτου πλαγιάς κατέπεσε στην πλαγιά του βουνού με αποτέλεσμα τον σοβαρό τραυματισμό του.,Σοβαρός τραυματισμός,      Πλήρωμα=1                       Επιβάτες=0    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=1      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Ομπλός Αχαΐας,,Αλεξίπτωτο,Αλεξίπτωτο Πλαγιάς,Ομπλός ΑχαΐαςΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Αλεξίπτωτο,2014,
03/2015,2015-05-29,2014-06-26,ΑΤΥΧΗΜΑ,Αλεξιπτωτιστής πλαγιάς κατέπεσε στην πλαγιά του βουνού αμέσως μετά την απογείωσή του με αποτέλεσμα τον θανάσιμο τραυματισμό  του,Θανάσιμος τραυματισμός,      Πλήρωμα=1                       Επιβάτες=0    Θάνατοι Πληρώματος=1          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Κακανάρια Αργολίδος,,Αλεξίπτωτο,Αλεξίπτωτο Πλαγιάς,Κακανάρια ΑργολίδοςΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Αλεξίπτωτο,2014,
02/2015,2015-04-30,2012-11-27,ΑΤΥΧΗΜΑ,"Χειριστής, έχοντας χάσει σχεδόν εξ’ ολοκλήρου τον έλεγχο του αλεξιπτώτου πλαγιάς κατέπεσε σε πευκόφυτη βραχώδη περιοχή στη πλαγιά του βουνού. Η πτώση του είχε ως αποτέλεσμα τον θανάσιμο τραυματισμό του.",Θανάσιμος τραυματισμός,      Πλήρωμα=1                       Επιβάτες=0    Θάνατοι Πληρώματος=1          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Κανδήλι Μεγάρων (Όρος «Πατέρας»),,Αλεξίπτωτο,Αλεξίπτωτο Πλαγιάς,Κανδήλι Μεγάρων (όρος «Πατέρας»)Νηολόγιο(α): -Αλεξίπτωτο Πλαγιάς,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Αλεξίπτωτο,2012,
01/2015,2015-03-16,2010-05-08,ΑΤΥΧΗΜΑ,Σύγκρουση ελικόπτερου εναέριων εργασιών με καλώδια ηλεκτρικού ρεύματος και συντριβή του κατά την τελική προσέγγιση προσγείωσης.,Σοβαρός τραυματισμός,      Πλήρωμα=2                       Επιβάτες=0    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=2      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Καστελλάκια Ρεθύμνου Κρήτης,,Ελικόπτερο,Μικρό / Ελαφρύ,Καστελλάκια Ρεθύμνου ΚρήτηςΝηολόγιο(α): SX-HΕVΕλικόπτεροΜικρό / Ελαφρύ,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Ελικόπτερο,2010,
06/2014,2014-12-23,2013-12-09,ΑΤΥΧΗΜΑ,"Xειριστής , Αλεξιπτώτου Πλαγιάς, Ελβετικής εθνικότητας κατά την διάρκεια πτήσης πλησίον του ορεινού όγκου Βαράσοβας Ναυπακτίας προσέκρουσε σε αυτόν, με συνέπεια τον σοβαρό τραυματισμό του.",Σοβαρός τραυματισμός,      Πλήρωμα=1                       Επιβάτες=0    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=1      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Βαράσοβα Ναυπακτίας,,Αλεξίπτωτο,Αλεξίπτωτο Πλαγιάς,Βαράσοβα ΝαυπακτίαςΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Αλεξίπτωτο,2013,
05/2014,2014-10-31,2013-08-18,ΑΤΥΧΗΜΑ,Θανάσιμος τραυματισμός χειριστή μηχανοκίνητου αλεξιπτώτου πλαγιάς (Powered ParaGlider)  κατά τη διάρκεια πτήσης αερο-φωτογράφησης,Θανάσιμος τραυματισμός,      Πλήρωμα=1                       Επιβάτες=0    Θάνατοι Πληρώματος=1          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Σοφάδες Καρδίτσας,-,Αλεξίπτωτο,Μηχανοκίνητο Αλεξίπτωτο,Σοφάδες ΚαρδίτσαςΝηολόγιο(α): -Μηχανοκίνητο Αλεξίπτωτο,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Αλεξίπτωτο,2013,
E01/2014,2014-04-30,2011-10-21,ΑΤΥΧΗΜΑ,Ελαφρύ αεροπλάνο σε εκπαιδευτική πτήση κατέληξε σε έξοδο από το διάδρομο προσγείωσης κατά την εκτέλεση προσγειω-απογειώσεων σε κοντό και μαλακό διάδρομο.,Χωρίς Τραυματισμό,      Πλήρωμα=2                       Επιβάτες=0    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Πεδίο Προσγείωσης Κωπαϊδας ‘Δημητρα’,,Αεροπλάνο,Μικρό / Ελαφρύ,Πεδίο Προσγείωσης ΚΩΠΑΪΔΑΣ ‘ΔΗΜΗΤΡΑ’Νηολόγιο(α): ΟΕ-ΚΑΙΑεροπλάνοΜικρό / Ελαφρύ,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Αεροπλάνο,2011,
Ε02/2014,2014-07-31,2011-09-13,ΑΤΥΧΗΜΑ,Σύγκρουση ανυψωτικού οχήματος φορτοεκφόρτωσης αεροσκαφών με σταθμευμένο αεροπλάνο  (ATR 72-211) στο χώρο στάθμευσης αεροσκαφών του Κρατικού Αερολιμένα της Θεσσαλονίκης.,Χωρίς Τραυματισμό,      Πλήρωμα=0                       Επιβάτες=0    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Κρατικος Αερολιμενας Θεσσαλονικης (Lgts),,Αεροπλάνο,Μεγάλο,ΚΡΑΤΙΚΟΣ ΑΕΡΟΛΙΜΕΝΑΣ ΘΕΣΣΑΛΟΝΙΚΗΣ (LGTS)Νηολόγιο(α): EC-JXFΑεροπλάνοΜεγάλο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Αεροπλάνο,2011,
04/2014,2014-09-25,2011-04-06,ΑΤΥΧΗΜΑ,Αναγκαστική προσθαλάσσωση υπερελαφρού αεροπλάνου κοντά σε παραλία κατά την οποία το αεροπλάνο ανετράπη,Χωρίς Τραυματισμό,      Πλήρωμα=1                       Επιβάτες=0    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Θαλάσσια Περιοχή Παληού Καβάλας,SX-UBS,Αεροπλάνο,Υπερελαφρύ,Θαλάσσια περιοχή Παληού ΚαβάλαςΝηολόγιο(α): SX-UBSΑεροπλάνοΥπερελαφρύ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Αεροπλάνο,2011,
03/2014,2014-04-29,2012-03-18,ΑΤΥΧΗΜΑ,Χειριστής Αλεξιπτώτου πλαγιάς έχοντας χάσει τον έλεγχο αμέσως μετά την απογείωση προσέκρουσε σε ηλεκτρικά καλώδια μέσης τάσης με συνέπεια τον θανάσιμο τραυματισμό του.,Θανάσιμος τραυματισμός,      Πλήρωμα=1                       Επιβάτες=0    Θάνατοι Πληρώματος=1          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Περιοχή «Αλθεα» Κορωπιου (Αγ. Μαρίνα),,Αλεξίπτωτο,Αλεξίπτωτο Πλαγιάς,Περιοχή «ΑΛΘΕΑ» ΚΟΡΩΠΙΟΥ (Αγ. Μαρίνα)Νηολόγιο(α): -Αλεξίπτωτο Πλαγιάς,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Αλεξίπτωτο,2012,
02/2014,2014-03-27,2012-06-19,ΑΤΥΧΗΜΑ,"Θανάσιμος τραυματισμός αλεξιπτωτιστή πλαγιάς κατά την προσγείωση υπό συνθήκες δυνατών ανέμων στην περιοχή Παναγίτσα – Γκούρα, κοντά στα Βίλια Αττικής.",Θανάσιμος τραυματισμός,      Πλήρωμα=1                       Επιβάτες=0    Θάνατοι Πληρώματος=1          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,"Βίλια, Αττικής",,Αλεξίπτωτο,Αλεξίπτωτο Πλαγιάς,"Βίλια, ΑττικήςΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Αλεξίπτωτο,2012,
01/2014,2014-12-03,2012-06-02,ΑΤΥΧΗΜΑ,Ελικόπτερο σε εκπαιδευτική πτήση έκανε βαριά προσγείωση και ανετράπη.,Χωρίς Τραυματισμό,      Πλήρωμα=2                       Επιβάτες=0    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Πλησίον Του Δημοτικού Πεδίου Προσγείωσης Του Δήμου Θηβαίων,,Ελικόπτερο,Μικρό / Ελαφρύ,Πλησίον του Δημοτικού Πεδίου προσγείωσης του Δήμου ΘηβαίωνΝηολόγιο(α): SX-HCWΕλικόπτεροΜικρό / Ελαφρύ,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ελικόπτερο,2012,
E01/2013,2013-02-13,2010-07-17,ΣΥΜΒΑΝ,"Ελαφρύ αεροπλάνο μετά την απογείωση του παρουσίασε πτώση ισχύος του κινητήρα και ένας υπόκωφος θόρυβος ακούστηκε από τον χώρο του κινητήρα. Καθώς η ισχύς συνέχισε να μειώνεται, ο χειριστής επέστρεψε για προσγείωση. Το α/φ προσγειώθηκε επιτυχώς.",Χωρίς Τραυματισμό,      Πλήρωμα=2                       Επιβάτες=1    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Κρατικός Αερολιμένας Ηρακλείου “N. Καζαντζάκης” (Lgir),SX-CCA,Αεροπλάνο,Μικρό / Ελαφρύ,Κρατικός Αερολιμένας Ηρακλείου “N. Καζαντζάκης” (LGIR)Νηολόγιο(α): SX-CCAΑεροπλάνοΜικρό / Ελαφρύ,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Αεροπλάνο,2010,
E02/2012,2012-04-30,2009-06-02,ΑΤΥΧΗΜΑ,Ελαφρύ ιδιωτικό ελικόπτερο στα τελευταία στάδια της προσέγγισης από λανθασμένους χειρισμούς έχασε τον έλεγχο τκαι ακινητοποιήθηκε με την δεξιά πλευρά του θαλάμου διακυβέρνησης στο έδαφος.,Χωρίς Τραυματισμό,      Πλήρωμα=1                       Επιβάτες=1    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Γρίτσα ( Παραλία ) - Λιτοχωρου,,Ελικόπτερο,Μικρό / Ελαφρύ,Γρίτσα ( παραλία ) - ΛΙΤΟΧΩΡΟΥΝηολόγιο(α): N992AKΕλικόπτεροΜικρό / Ελαφρύ,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Ελικόπτερο,2009,
05/2012,2012-11-28,2011-03-09,ΑΤΥΧΗΜΑ,"Xειριστής αλεξιπτώτου πλαγιάς, έχασε τον έλεγχο και κάνοντας χρήση του εφεδρικού αλεξιπτώτου προσέκρουσε σε δύσβατη πλαγιά των Όρεων Βάλτου στη θέση Κορφούλα, Θυάμου, Δήμου Ινάχου, Ν. Αιτωλοακαρνανίας, με αποτέλεσμα το σοβαρό τραυματισμό του.",Σοβαρός τραυματισμός,      Πλήρωμα=1                       Επιβάτες=0    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=1      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,"Θυαμος, Ν. Αιτολωακαρνανιας",,Αλεξίπτωτο,Αλεξίπτωτο Πλαγιάς,"ΘΥΑΜΟΣ, Ν. ΑΙΤΟΛΩΑΚΑΡΝΑΝΙΑΣΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Αλεξίπτωτο,2011,
04/2012,2012-11-28,2011-04-29,ΑΤΥΧΗΜΑ,"Ελαφρύ αεροπλάνο που εκτελούσε προσγειω-απογειώσεις σε ιδιωτικό αεροδρόμιο στη περιοχή του Πόρτο Χέλι, έπεσε και βυθίστηκε στη θάλασσα σε βάθος εννέα μέτρων, 350 m Δυτικά από το αεροδρόμιο. Οι επιβαίνοντες του α/φ τραυματίσθηκαν θανάσιμα.",Θανάσιμος τραυματισμός,      Πλήρωμα=2                       Επιβάτες=0    Θάνατοι Πληρώματος=2          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Θαλάσσια Περιοχή Πλησίον Του Πόρτο Χέλι,D-EOFS,Αεροπλάνο,Μικρό / Ελαφρύ,Θαλάσσια περιοχή πλησίον του Πόρτο ΧέλιΝηολόγιο(α): D-EOFSΑεροπλάνοΜικρό / Ελαφρύ,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Αεροπλάνο,2011,
03/2012,2012-11-07,2009-02-02,ΣΥΜΒΑΝ,"Αεροπλάνο ATR-72 κατά τη διάρκεια δοκιμής κινητήρων από προσωπικό συντήρησης, ολίσθησε και η έλικα του δεξιού κινητήρα προσέκρουσε στη μονάδα ισχύος εδάφους.",Χωρίς Τραυματισμό,      Πλήρωμα=0                       Επιβάτες=3    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Διεθνης Αερολιμενας Αθηνων “Ελ. Βενιζελος” (Lgav),,Αεροπλάνο,Μεγάλο,ΔΙΕΘΝΗΣ ΑΕΡΟΛΙΜΕΝΑΣ ΑΘΗΝΩΝ “ΕΛ. ΒΕΝΙΖΕΛΟΣ” (LGAV)Νηολόγιο(α): SX-BIHΑεροπλάνοΜεγάλο,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,Αεροπλάνο,2009,
02/2012,2012-07-02,2008-02-03,ΑΤΥΧΗΜΑ,"<span (solo).""="""" span="""" uk-icon=""info"" uk-tooltip=""Έξοδος από το διάδρομο απογείωσης και ανατροπή ελαφρού εκπαιδευτικού αεροπλάνου κατά τη διάρκεια απογείωσης σε εκπαιδευτική πτήση "" μόνος""=""",Μικρός τραυματισμός,      Πλήρωμα=1                       Επιβάτες=0    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=0      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,Κρατικός Αερολιμένας Θεσσαλονίκης “Μακεδονία” (Lgts),,Αεροπλάνο,Μικρό / Ελαφρύ,Κρατικός Αερολιμένας Θεσσαλονίκης “Μακεδονία” (LGTS)Νηολόγιο(α): SX-APZΑεροπλάνοΜικρό / Ελαφρύ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Αεροπλάνο,2008,
01/2012,2012-12-02,2010-01-08,ΑΤΥΧΗΜΑ,"Σοβαρός τραυματισμός αλεξιπτωτιστή πλαγιάς κατά τη διάρκεια αναγκαστικής προσγείωσης σε βραχώδη, δύσβατη περιοχή, πλησίον χείλους γκρεμού που κατέληγε στην θάλασσα.",Σοβαρός τραυματισμός,      Πλήρωμα=1                       Επιβάτες=0    Θάνατοι Πληρώματος=0          Θάνατοι Επιβατών=0Σοβ. Τραυμ. πληρώματος=1      Σοβ. Τραυμ. επιβατών=0                 Εκτός αεροσκάφους       άλλοι θάνατοι=0     άλλοι Σοβ. Τραυμ.=0,"Περιοχή Κάθισμα, Ν. Λευκάδας",,Αλεξίπτωτο,Αλεξίπτωτο Πλαγιάς,"Περιοχή Κάθισμα, Ν. ΛευκάδαςΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Αλεξίπτωτο,2010,
