conclusion_date1,conclusion_date2,incident_info,incident_type,incident_description,fatalities,fatalities_description,area,registry,aircraft_type,aircraft_info,area_info
03/2017,28/11/2017,"20/09/2014
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Συντριβή ανεμόπτερου στο αεροδρόμιο Τατοΐου μετά από σύγκρουση της πτέρυγας με ιστό - θανάσιμς τραυματισμός.""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=1                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",Αεροδρόμιο Τατοΐου (LGTT),Νηολόγιο(α): SX-123,Νηολόγιο(α): SX-123,Ανεμόπτερο,Αεροδρόμιο Τατοΐου (LGTT)Νηολόγιο(α): SX-123Ανεμόπτερο
02/2017,20/07/2017,"17/06/2016
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Αναγκαστική προσθαλάσσωση ελαφρού αεροπλάνου λόγω βλάβης κινητήρα""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=1&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",ΘΑΛΑΣΣΙΑ ΠΕΡΙΟΧΗ ΠΑΧΗΣ ΜΕΓΑΡΩΝ,Νηολόγιο(α): SX-BSM,Αεροπλάνο,Μικρό / Ελαφρύ,ΘΑΛΑΣΣΙΑ ΠΕΡΙΟΧΗ ΠΑΧΗΣ ΜΕΓΑΡΩΝΝηολόγιο(α): SX-BSMΑεροπλάνοΜικρό / Ελαφρύ
01/2017,11/05/2017,"23/07/2015
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Ελαφρύ ελικόπτερο που προσθαλασσώθηκε με πλωτήρες λόγω βλάβης αναποδογύρισε στη θάλασσα κατά την επιχείριση διάσωσης από ελικόπτερο του πολεμικού ναυτικού.""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=1&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Ελικόπτερο,Μικρό / Ελαφρύ,Θαλάσσια Περιοχή 5 nm Ανατολικά από το σημείο ‘Perati’ Ανατολικής ΑττικήςΝηολόγιο(α): SX-HRWΕλικόπτεροΜικρό / Ελαφρύ
E05/2016,20/09/2016,"24/09/2014
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Χειριστής ελαφρού αεροπλάνου εγκατέλειψε το αεροσκάφος με αλεξίπτωτο πάνω από θαλάσια περιοχή λόγω βλάβης στον κινητήρα""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",Θαλάσσια περιοχή Χαλκιδικής -πλησίον Ιερισσού,Νηολόγιο(α): LY-AKG,Αεροπλάνο,Μικρό / Ελαφρύ,Θαλάσσια περιοχή Χαλκιδικής -πλησίον ΙερισσούΝηολόγιο(α): LY-AKGΑεροπλάνοΜικρό / Ελαφρύ
E04/2016,27/07/2016,"11/06/2011
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Ελαφρύ αεροπλάνο είχε μη ομαλή επαφή με τον διάδρομο προσγείωσης στο Καστελόριζο και κατάρευση του εμπρόσθιου συστήματος προσγείωσης""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=3&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",ΔΗΜΟΤΙΚΟΣ ΑΕΡΟΛΙΜΕΝΑΣ ΚΑΣΤΕΛΟΡΙΖΟΥ (LGKJ),Νηολόγιο(α): SX-AMG,Αεροπλάνο,Μικρό / Ελαφρύ,ΔΗΜΟΤΙΚΟΣ ΑΕΡΟΛΙΜΕΝΑΣ ΚΑΣΤΕΛΟΡΙΖΟΥ (LGKJ)Νηολόγιο(α): SX-AMGΑεροπλάνοΜικρό / Ελαφρύ
E03/2016,27/07/2016,"04/07/2014
ΣΟΒΑΡΟ ΣΥΜΒΑΝ",ΣΟΒΑΡΟ ΣΥΜΒΑΝ,"<span span="""" uk-icon=""info"" uk-tooltip=""Δύο επιβατικά αεροπλάνα αερογραμμών συγκρούστηκαν με τα ακροπτερύγιά τους κατά τη στάθμευση στο αεροδρόμιο Μυκόνου LGMK.""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=12                                        Επιβάτες=333&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μεγάλο,ΚΡΑΤΙΚΟΣ ΑΕΡΟΛΙΜΕΝΑΣ ΜΥΚΟΝΟΥ LGMKΝηολόγιο(α): SX-DVK & I-EEZHΑεροπλάνοΜεγάλο
E02/2016,29/03/2016,"28/08/2012
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Ελαφρύ αεροπλάνο εξετράπη του διαδρόμου προσγείωσης και προσέκρουσε σε τάφρο όμβριων υδάτων στο αεροδρόμιο Σάμου με συνθήκες υψηλού ανέμου""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,ΚΡΑΤΙΚΟΣ ΑΕΡΟΛΙΜΕΝΑΣ ΣΑΜΟΥ ‘ΑΡΙΣΤΑΡΧΟΣ Ο ΣΑΜΙΟΣ’Νηολόγιο(α): D-ERLMΑεροπλάνοΜικρό / Ελαφρύ
E01/2016,29/01/2016,"14/09/2013
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Αλεξιπτωτιστής ελεύθερης πτώσης έχασε τις αισθήσεις του σε εναέρια σύγκρουση με έτερο αλεξιπτωτιστή και τραυματίστηκε κατά την πτώση του με αυτόματη ενεργοποίηση του εφεδρικού αλεξιπτώτου""><br/></span>",Σοβαρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=1          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",Πεδίο Προσγείωσης Κωπαΐδας,Νηολόγιο(α): -,Νηολόγιο(α): -,Αλεξίπτωτο ελεύθερης πτώσης,Πεδίο Προσγείωσης ΚωπαΐδαςΝηολόγιο(α): -Αλεξίπτωτο ελεύθερης πτώσης
05/2016,25/11/2016,"17/07/2015
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Χειριστής αλεξιπτώτου πλαγιάς μετά από ολιγόλεπτη πτήση αναψυχής τραυματίστηκε θανάσιμα σύγκρουση με στύλο ηλεκτρικού ρεύματος και πτώση""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=1                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Μηχανοκίνητο Αλεξίπτωτο,Ν. Ηράκλεια ΧαλκιδικήςΝηολόγιο(α): -Μηχανοκίνητο Αλεξίπτωτο
04/2016,30/10/2016,"04/05/2014
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Χειριστής Αλεξιπτώτου Πλαγιάς  τραυματίστηκε θανάσιμα σε πλαγιά βουνού πιθανότατα ύστερα από απωλεια αισθήσεων λόγω καρδιοπάθειας κατά την πτήση""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=1                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Αλεξίπτωτο Πλαγιάς,Λέντα ΚρήτηςΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς
03/2016,30/08/2016,"03/05/2015
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Σοβαρός τραυματισμός χειριστή αλεξιπτώτου πλαγιάς από πτώση κατά την προσπάθεια προσγείωσης στον χώρο απογείωσης (top landing)""><br/></span>",Σοβαρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=1          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Αλεξίπτωτο Πλαγιάς,Βλαχέρνα Αγρινίου ΑιτωλοακαρνανίαςΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς
02/2016,29/06/2016,"07/08/2010
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Ελαφρύ αεροπλάνο με 6 επιβαίνοντεςεξετράπη του διαδρόμου προσγείωσης στο αεροδρόμιο Σαντορίνης (LGSR) και ακινητοποιήθηκε στη ζώνη ασφάλειας του αεροδρομίου.""><br/></span>",Μικρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=5&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,Κρατικός Αερολιμένας Σαντορίνης (LGSR)Νηολόγιο(α): SX-FASΑεροπλάνοΜικρό / Ελαφρύ
01/2016,10/03/2016,"26/07/2014
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Συντριβή διθέσιου αμφίβιου υπερελαφρού αεροπλάνου αμέσως μετά την απογείωση κατά τη στροφή για αναγκαστική προσγείωση λόγω απώλειας ισχύος κινητήρα. Θανάσιμος Τραυματισμός.""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=2                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=2                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Υπερελαφρύ,"Θέση Πυρί, Λευκόχωμα ΣπάρτηςΝηολόγιο(α): I-Α651ΑεροπλάνοΥπερελαφρύ"
06/2015,31/10/2015,"31/08/2014
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""χειρίστρια αλεξίπτωτου πλαγιάς που πραγματοποιούσε πτήση στο όρος Κιθαιρώνας πλησίον της πόλης των Πλαταιών, τραυματίσθηκε θανάσιμα μετά από είσοδο του αλεξίπτωτού της σε σπειροειδή βύθιση και πτώση της στην πλαγιά του όρους""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=1                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Αλεξίπτωτο Πλαγιάς,"Πλαταιές, ΒοιωτίαςΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς"
E01/2015,30/09/2015,"03/08/2014
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Ζημιές σε ελικόπτερο κατά την προσγείωση λόγω επαφής των πτερύγων της έλικας με ξένο αντικείμενο.""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Ελικόπτερο,Μικρό / Ελαφρύ,ΠΑΡΟΣ (ιδιωτικό χώρο προσγείωσης)Νηολόγιο(α): SX-HVJΕλικόπτεροΜικρό / Ελαφρύ
05/2015,31/08/2015,"09/06/2013
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Αλεξιπτωτιστής πλαγιάς απογειώθηκε με εμπλοκή στα σχοινάκια του αλεξιπτώτου του και στην προσπάθειά του να προσγειωθεί στο χώρο απογείωσης (Top Landing) κατέπεσε πλησίον αυτού με συνέπεια τον σοβαρό τραυματισμό του.""><br/></span>",Σοβαρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=1          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Αλεξίπτωτο Πλαγιάς,Ομπλός ΑχαΐαςΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς
04/2015,30/06/2015,"01/05/2014
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Χειριστής αλεξιπτώτου πλαγιάς κατέπεσε στην πλαγιά του βουνού με αποτέλεσμα τον σοβαρό τραυματισμό του.""><br/></span>",Σοβαρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=1          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Αλεξίπτωτο Πλαγιάς,Ομπλός ΑχαΐαςΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς
03/2015,29/05/2015,"26/06/2014
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Αλεξιπτωτιστής πλαγιάς κατέπεσε στην πλαγιά του βουνού αμέσως μετά την απογείωσή του με αποτέλεσμα τον θανάσιμο τραυματισμό  του""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=1                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Αλεξίπτωτο Πλαγιάς,Κακανάρια ΑργολίδοςΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς
02/2015,30/04/2015,"27/11/2012
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Χειριστής, έχοντας χάσει σχεδόν εξ’ ολοκλήρου τον έλεγχο του αλεξιπτώτου πλαγιάς κατέπεσε σε πευκόφυτη βραχώδη περιοχή στη πλαγιά του βουνού. Η πτώση του είχε ως αποτέλεσμα τον θανάσιμο τραυματισμό του.""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=1                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Αλεξίπτωτο Πλαγιάς,Κανδήλι Μεγάρων (όρος «Πατέρας»)Νηολόγιο(α): -Αλεξίπτωτο Πλαγιάς
01/2015,16/03/2015,"05/08/2010
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Σύγκρουση ελικόπτερου εναέριων εργασιών με καλώδια ηλεκτρικού ρεύματος και συντριβή του κατά την τελική προσέγγιση προσγείωσης.""><br/></span>",Σοβαρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=2                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=2          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Ελικόπτερο,Μικρό / Ελαφρύ,Καστελλάκια Ρεθύμνου ΚρήτηςΝηολόγιο(α): SX-HΕVΕλικόπτεροΜικρό / Ελαφρύ
06/2014,23/12/2014,"12/09/2013
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Xειριστής , Αλεξιπτώτου Πλαγιάς, Ελβετικής εθνικότητας κατά την διάρκεια πτήσης πλησίον του ορεινού όγκου Βαράσοβας Ναυπακτίας προσέκρουσε σε αυτόν, με συνέπεια τον σοβαρό τραυματισμό του.""><br/></span>",Σοβαρός τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=1          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Αλεξίπτωτο Πλαγιάς,Βαράσοβα ΝαυπακτίαςΝηολόγιο(α): -Αλεξίπτωτο Πλαγιάς
05/2014,31/10/2014,"18/08/2013
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Θανάσιμος τραυματισμός χειριστή μηχανοκίνητου αλεξιπτώτου πλαγιάς (Powered ParaGlider)  κατά τη διάρκεια πτήσης αερο-φωτογράφησης""><br/></span>",Θανάσιμος τραυματισμός,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=1                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Νηολόγιο(α): -,Μηχανοκίνητο Αλεξίπτωτο,Σοφάδες ΚαρδίτσαςΝηολόγιο(α): -Μηχανοκίνητο Αλεξίπτωτο
E01/2014,30/04/2014,"21/10/2011
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Ελαφρύ αεροπλάνο σε εκπαιδευτική πτήση κατέληξε σε έξοδο από το διάδρομο προσγείωσης κατά την εκτέλεση προσγειω-απογειώσεων σε κοντό και μαλακό διάδρομο.""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=2                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μικρό / Ελαφρύ,Πεδίο Προσγείωσης ΚΩΠΑΪΔΑΣ ‘ΔΗΜΗΤΡΑ’Νηολόγιο(α): ΟΕ-ΚΑΙΑεροπλάνοΜικρό / Ελαφρύ
Ε02/2014,31/07/2014,"13/09/2011
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Σύγκρουση ανυψωτικού οχήματος φορτοεκφόρτωσης αεροσκαφών με σταθμευμένο αεροπλάνο  (ATR 72-211) στο χώρο στάθμευσης αεροσκαφών του Κρατικού Αερολιμένα της Θεσσαλονίκης.""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=0                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Μεγάλο,ΚΡΑΤΙΚΟΣ ΑΕΡΟΛΙΜΕΝΑΣ ΘΕΣΣΑΛΟΝΙΚΗΣ (LGTS)Νηολόγιο(α): EC-JXFΑεροπλάνοΜεγάλο
04/2014,25/09/2014,"04/06/2011
ΑΤΥΧΗΜΑ",ΑΤΥΧΗΜΑ,"<span span="""" uk-icon=""info"" uk-tooltip=""Αναγκαστική προσθαλάσσωση υπερελαφρού αεροπλάνου κοντά σε παραλία κατά την οποία το αεροπλάνο ανετράπη""><br/></span>",Χωρίς Τραυματισμό,"<span <="""" span="""" uk-icon=""info"" uk-tooltip=""            Πλήρωμα=1                                        Επιβάτες=0&lt;br&gt;     Θάνατοι Πληρώματος=0                 Θάνατοι Επιβατών=0&lt;br&gt;Σοβ. Τραυμ. πληρώματος=0          Σοβ. Τραυμ. επιβατών=0&lt;br&gt;&lt;br&gt;                                  Εκτός αεροσκάφους&lt;br&gt;              άλλοι θάνατοι=0         άλλοι Σοβ. Τραυμ.=0"">
</span>",,,Αεροπλάνο,Υπερελαφρύ,Θαλάσσια περιοχή Παληού ΚαβάλαςΝηολόγιο(α): SX-UBSΑεροπλάνοΥπερελαφρύ
